ID,Nombre,Categoria,Direccion,Telefono,Latitud,Longitud,Color,Imagen
12,"Textil Trejo","Negocios","Obispo Trejo 41, X5000 IYA, Córdoba","+54 0351155942301",-31.415876118153047,-64.18512004203444,"#c1c9c1","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXWU6wM4_4UInwoiVb51YV3e2upXls3SDRyyJVAMX6vobJVFiKCnrIcnjNlvhjWQezgWqz3vkLGMiQdLtgSOk1sr09p1XYIsyepzGYYnXdk2ZimJ61Qu_pR1BVqIfhMVRq21SR=w426-h240-k-no"
13,"Canelo Textil: División Telas","Negocios","Blvd. Pres. Dr. Arturo U. Illia 365, X5000IAH Córdoba","+54 03513105280",-31.421625904319164,-64.18047976031491,"#4d40dd","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGkWjsvKm-vPeJ8k9KgkuVX0Ymaaef5bMPDg-Zk2ZRjmh_5TravaNknOsz3YoXHR_sLqjppFqgfVSXcQ8bPAPIJjfDA7B22ZFNUIM9dWpd4YhpyoPM5HZbofHK_vGUD5shVFkygcA=w408-h544-k-no"
14,"Canelo Textil","Negocios","Corrientes 501 Esquina, X5000 ASD, Córdoba","+54 03516831757",-31.421064400992947,-64.17808450313272,"#ff00d9","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG3KDzdWgc2KMLqn8oeOjjuUifkKgfOwfCcGxERb1z9TPqMtwZkiMAzTKssTrqcfutNxp4eB4myynlFm18D55rtKKfXWlDCUFPPWPtXvR2lh6Q7JkKTVgmpNWLf8uzbAzYXopUn-w=w408-h408-k-no"
15,"CANELO M J","Negocios","Entre Ríos 375, X5000 Córdoba","+54 03516831757",-31.419491196668737,-64.1797785068009,"#ff00d9","https://lh3.googleusercontent.com/gps-proxy/ALd4DhFlhUJpBa8C5dODOS_W25ZtFJeIgPobQzWwQyWqKSNw5TZdEymQhAusvIDIMvwg1tB7EJwvuFAyaywlJwN_76qM2M8oZ1Mcwuxx21zv72vg7xMkKCco4U7HrUJ7awPab8LrCYw1VQyR78_SW40mRknz7OF_LDyypYV9yZ-Gv-jNdAIOsIA0_HRUvngqlm9djL03YQ=w408-h306-k-no"
16,"Texcor Telas","Negocios","Corrientes 424, X5000 Córdoba","+54 03513714856",-31.42097810165456,-64.1793664984724,"#1a1735","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHOuOzCjHxIlzu1JrVQaT68T8yj3mIY34b-OqBP4a71flaAMcu0PI9ovd3birhdSSsafctmu7tXbul-sI6vjj8lULtkz0U2VXDeBTO9LjbW3rPt61Vr5uBZTJDly-C839MP83ir=w408-h272-k-no"
17,"Sederia La Victoria","Negocios","Rivera Indarte 15, X5000JAA Córdoba","+54 03513714856",-31.415703581651595,-64.18545245187936,"#b67b15","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHYZ8cpedpBrOrqfkqk1OY8EpCQiW_b5y1Job3AYI5reXQnJGtKCdK6FaO5913evrQIjeg88MSeq_OOojWFo7aN9va5JsqggspJD0kucEzY2xfKbELkrqAwTYN3nI98w6EZ1uaU=w408-h544-k-no"
19,"Galia","Negocios","Deán Funes 85 5000, X5000AAB Córdoba","+54 03514215989",-31.415419690995964,-64.18421749250602,"#e7cb9a","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFt2dL-3tapeI2dbXFrfbuJasFpbDMMEbiVPNJA1TXQpNsNopSg08u9n3CFeOCYOiurdeo2o3QtKjkRMOKuKmS8ZRe-frpxeaKvEnMk43LccSNb3iTMAeL0E31Nil1cLfiafDdoPw=w426-h240-k-no"
20,"MODA TEXTIL","Negocios","Rosario de Sta. Fe 157, X5000ACC Córdoba","+54 03516248020",-31.416141454966834,-64.18136867286775,"#130316","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGzNtKQklhKqukC-FBm_DO1QS65Q1WTZtvdXoQjKpVxXuG4XlvSvxSSxHDqw5rMsFz9qn8ozA1naGDIWQ6mj5Na5ZMnXc5AF-6Zq-_G6sPmnZppu3z8cXCBeDpqtidtc3IYd104OdG6koY=w408-h544-k-no"
21,"DiTec","Negocios","Rosario de Sta. Fe 157, X5000ACC Córdoba","+54 03514731650",-31.403487954953047,-64.19738130205313,"#ff00d9","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEVZLIQDbhINDaf4eHC4vgHZktw6kPQq_DR39D1nYWD8kqh_dcCrAr-lHT7QCzjgzw98TZsJc7AvQd6KqIGv5mJEmkmxXUudOC2x2Jx9fwbhE4EdPGcf1NVEl9-0lVfbx31mdfqZbECDw4=w408-h306-k-no"
22,"Ames Textil","Negocios","Av. Juan B Justo 2397 BºALTA, X5001GXB Córdoba","+54 03514710624",-31.39621717048553,-64.17376052498841,"#ff00d9","https://lh3.googleusercontent.com/gps-proxy/ALd4DhEMcm8ykZWtrUqjrz6aTT03VkVZ6Tk5UVpJpllTuSxf_BArVGm2QGFvJkYP0zHQ8qjBHsk2K4NJjIZZRCP8ufvhaq4MIOEEJ8WsFzvhH_QbSuIBVD0rpajfvPXZ02vNAYmrM5Odai1fuuSqmxaYQ0HQunAzyFDN0t2Qm3m0cThtoFgWftKYP1uGr6ZwU7voqM_R-JA=w408-h306-k-no"
23,"Centro Verde Telas","Negocios","X5006 Córdoba","+54 __________",-31.437917852667542,-64.11955106431515,"#00ff33","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHYJtCFh_aXOzpe2TOA3undZ0HJxTAfhhdu6787hBAXXaygiADITA5wsxTbfvm9Eip9L5qf40TByLSHacTaXMommQKBHAwpF7ZxuMwQNHnBhLJAPsBUgi4czYwybqkMLOmIU0guAA=w408-h544-k-no"
24,"Indultex","Negocios","Av. Fuerza Aérea Argentina 2195, X5010 Córdoba","+54 03514661093",-31.430706303313322,-64.21805145264261,"#ff0000","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGGIDs86Zfm8umtRwT6bH3FTwReZZCXVXvCGaU_Nb-TRrrKBovnvCyaAR-4ZW_01V5fid73BnBT2PZ23y2oPOm7p3Hfx4BXoF9fdlc-8NZCZJ1kEse-Uyi3lLwtBgEbNebw4etCUg=w408-h544-k-no"
22,"TRAMA 3 TEXTIL","Negocios","Manzana 43 Lote 18B, X5000, Córdoba","+54 03512291920",-31.354373139463124,-64.128659189727,"#ff0000","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGW6GE6Y8fq636eQpAFJZxMPOBUD7-QTEfgsgCKXNUFu6zbLaTGBT7O8bKkvAec83cDiek42P2I-ltPIYikuYBtjl2lGiNJLOMMIap-lZ4uresAfC_4W5ZQDsJNk0qLor1mcv_qvTKkv2jJ=w408-h541-k-no"
22,"Cba Textil Moda-Vanguardia","Negocios","Manzana 43 Lote 18B, X5000, Córdoba","+54 03512291920",-31.419296318833595,-64.18094126258998,"#ff0000","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPOTDDxceJOBYy0Jjk5QGtBbh2MNPXmOIT3I3XxpNZR6tnJL71_fLJLSA7x9m8-Jki4w09J9RP8QhlIne_0Iw2jXIwVQ9WYtJJw0CyllAhn-WyRRz-3PmhjFz191Qc0itQXEdWfQ=w408-h306-k-no"
22,"Ctc Indumentaria","Negocios","Cnel. Agustín Olmedo 185, X5000 Córdoba","+54 03513637930",-31.408345393503392,-64.19731943478325,"#ff0000","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFPhluRqjq4forRubFKe-8w4T3APQf_fFc-ukMJBnqgfbVeTR8O_xLNgOm2UfhZOFfWPQ-Lo-NHC_s12MxWXwMB5osFJwPAt713H8EtOA7fRVInzuH2ioEdTmE5jkgc_2LvWEdArhQ2qgs=w426-h240-k-no"
22,"Grandes Tiendas Florencia","Negocios","Ituzaingo 230 Ambrosio Olmos 36, San Martín 472, X5000 Córdoba","+54 03513074321",-31.41058925013151,-64.18140868716705,"#ff0000","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFPhluRqjq4forRubFKe-8w4T3APQf_fFc-ukMJBnqgfbVeTR8O_xLNgOm2UfhZOFfWPQ-Lo-NHC_s12MxWXwMB5osFJwPAt713H8EtOA7fRVInzuH2ioEdTmE5jkgc_2LvWEdArhQ2qgs=w426-h240-k-no"
